"","mean_age","NRI","local","coords.LON","coords.LAT"
"1137",1e-05,0,"temperate",-139.716552734375,68.1235961903804
"1138",1e-05,0,"temperate",-138.716552734375,68.1235961903804
"1139",1e-05,0,"temperate",-137.716552734375,68.1235961903804
"1140",1e-05,0,"temperate",-136.716552734375,68.1235961903805
"1141",1e-05,0,"temperate",-135.716552734375,68.1235961903804
"1142",1e-05,0,"temperate",-134.716552734375,68.1235961903805
"1143",1e-05,0,"temperate",-133.716552734375,68.1235961903805
"1144",1e-05,0,"temperate",-132.716552734375,68.1235961903804
"1145",1e-05,0,"temperate",-131.716552734375,68.1235961903805
"1146",1e-05,0,"temperate",-130.716552734375,68.1235961903805
"1147",1e-05,0,"temperate",-129.716552734375,68.1235961903804
"1148",1e-05,0,"temperate",-128.716552734375,68.1235961903804
"1149",1e-05,0,"temperate",-127.716552734375,68.1235961903805
"1150",1e-05,0,"temperate",-126.716552734375,68.1235961903804
"1151",1e-05,0,"temperate",-125.716552734375,68.1235961903805
"1152",1e-05,0,"temperate",-124.716552734375,68.1235961903805
"1153",1e-05,0,"temperate",-123.716552734375,68.1235961903805
"1154",1e-05,0,"temperate",-122.716552734375,68.1235961903804
"1155",1e-05,0,"temperate",-121.716552734375,68.1235961903804
"1156",1e-05,0,"temperate",-120.716552734375,68.1235961903805
"1157",1e-05,0,"temperate",-119.716552734375,68.1235961903805
"1158",1e-05,0,"temperate",-118.716552734375,68.1235961903805
"1220",1e-05,0,"temperate",-163.54883155653,67.3784889764647
"1221",1e-05,2.50440757938002,"temperate",-162.712305603272,67.3291923695367
"1222",1e-05,2.50440757938002,"temperate",-161.657188822221,67.1842439550333
"1223",1e-05,2.50440757938002,"temperate",-160.71478917247,67.1328136851319
"1224",1e-05,3.86584288458641,"temperate",-159.716552734375,67.1235961903345
"1225",1e-05,3.86584288458641,"temperate",-158.716552734375,67.1235961903345
"1226",1e-05,3.86584288458641,"temperate",-157.716552734375,67.1235961903345
"1227",1e-05,5.16250727024299,"temperate",-156.716552734375,67.1235961903345
"1228",1e-05,5.16250727024299,"temperate",-155.716552734375,67.1235961903345
"1229",1e-05,5.16250727024299,"temperate",-154.716552734375,67.1235961903345
"1230",1e-05,5.16250727024299,"temperate",-153.716552734375,67.1235961903345
"1231",1e-05,5.80684348599053,"temperate",-152.716552734375,67.1235961903345
"1232",1e-05,5.80684348599053,"temperate",-151.716552734375,67.1235961903345
"1233",1e-05,5.80684348599053,"temperate",-150.716552734375,67.1235961903344
"1234",1e-05,5.80684348599053,"temperate",-149.716552734375,67.1235961903345
"1235",1e-05,5.80684348599053,"temperate",-148.716552734375,67.1235961903345
"1236",1e-05,5.80684348599053,"temperate",-147.716552734375,67.1235961903344
"1237",1e-05,5.80684348599053,"temperate",-146.716552734375,67.1235961903345
"1238",1e-05,5.80684348599053,"temperate",-145.716552734375,67.1235961903345
"1239",1e-05,5.80684348599053,"temperate",-144.716552734375,67.1235961903345
"1240",1e-05,5.80684348599053,"temperate",-143.716552734375,67.1235961903345
"1241",1e-05,4.75741355199983,"temperate",-142.716552734375,67.1235961903345
"1242",1e-05,3.819126564946,"temperate",-141.716552734375,67.1235961903344
"1243",1e-05,3.819126564946,"temperate",-140.716552734375,67.1235961903345
"1244",1e-05,2.26163171514746,"temperate",-139.716552734375,67.1235961903345
"1245",1e-05,2.26163171514746,"temperate",-138.716552734375,67.1235961903345
"1246",1e-05,2.26163171514746,"temperate",-137.716552734375,67.1235961903345
"1247",1e-05,2.26163171514746,"temperate",-136.716552734375,67.1235961903344
"1248",1e-05,2.26163171514746,"temperate",-135.716552734375,67.1235961903345
"1249",1e-05,2.26163171514746,"temperate",-134.716552734375,67.1235961903345
"1250",1e-05,2.26163171514746,"temperate",-133.716552734375,67.1235961903345
"1251",1e-05,0,"temperate",-132.716552734375,67.1235961903345
"1252",1e-05,0,"temperate",-131.716552734375,67.1235961903345
"1253",1e-05,0,"temperate",-130.716552734375,67.1235961903345
"1254",1e-05,0,"temperate",-129.716552734375,67.1235961903345
"1255",1e-05,0,"temperate",-128.716552734375,67.1235961903345
"1256",1e-05,0,"temperate",-127.716552734375,67.1235961903345
"1257",1e-05,0,"temperate",-126.716552734375,67.1235961903345
"1258",1e-05,0,"temperate",-125.716552734375,67.1235961903344
"1259",1e-05,0,"temperate",-124.716552734375,67.1235961903345
"1260",1e-05,0,"temperate",-123.716552734375,67.1235961903345
"1261",1e-05,0,"temperate",-122.716552734375,67.1235961903345
"1262",1e-05,0,"temperate",-121.716552734375,67.1235961903345
"1263",1e-05,0,"temperate",-120.716552734375,67.1235961903345
"1264",1e-05,0,"temperate",-119.716552734375,67.1235961903345
"1265",1e-05,0,"temperate",-118.716552734375,67.1235961903345
"1266",1e-05,0,"temperate",-117.716552734375,67.1235961903345
"1338",1e-05,0,"temperate",-165.663830004787,65.9603020801659
"1339",1e-05,0,"temperate",-164.696269647228,66.0737499349848
"1340",1e-05,2.50440757938002,"temperate",-163.805933492339,65.9998286658346
"1341",1e-05,0,"temperate",-162.723911262529,65.8454270462289
"1342",1e-05,2.50440757938002,"temperate",-161.668841974471,65.8915168286021
"1343",1e-05,2.50440757938002,"temperate",-160.715833877474,66.0114507333448
"1344",1e-05,3.86584288458641,"temperate",-159.715705345509,66.1233364510802
"1345",1e-05,5.16250727024299,"temperate",-158.716552734375,66.1235961902866
